Round,Rank,Value,Name,Inj,Team,Pos,g,m/g,p/g,3/g,r/g,a/g,s/g,b/g,fg%,fga/g,ft%,fta/g,to/g,pV,3V,rV,aV,sV,bV,fg%V,ft%V,toV
1,1,0.906218469,Nikola Jokic,,DEN,PF/C,72,34.55648148,26.36111111,1.277777778,10.83333333,8.319444444,1.319444444,0.680555556,0.56612529,17.95833333,0.868020305,5.472222222,3.083333333,1.670683299,-0.43807166,2.000100157,2.071605816,0.927847296,0.005507318,2.284902958,1.060361236,-1.426970202
1,2,0.750482347,Stephen Curry,,GSW,PG/SG,63,34.15529101,31.98412698,5.349206349,5.492063492,5.761904762,1.206349206,0.126984127,0.482051282,21.66666667,0.916455696,6.26984127,3.380952381,2.600941947,3.43207647,-0.149628517,0.944827845,0.603175423,-1.06452606,0.032792473,2.118205884,-1.763524344
1,3,0.677910181,Kyrie Irving,Injured,BKN,PG/SG,54,34.92993827,26.87037037,2.814814815,4.759259259,6,1.407407407,0.685185185,0.505524862,20.11111111,0.922018349,4.037037037,2.388888889,1.754933965,1.022978414,-0.444564051,1.049725717,1.180369864,0.014456224,0.736783467,1.428185236,-0.641677203
1,4,0.62245696,Kawhi Leonard,Injured - torn acl (0g) - 4/10/2022,LAC,SG/SF,52,34.08814103,24.84615385,1.942307692,6.480769231,5.173076923,1.557692308,0.403846154,0.512114537,17.46153846,0.884745763,5.673076923,2.019230769,1.420052298,0.193605689,0.248301028,0.685407339,1.611805183,-0.529361862,0.814510866,1.381451797,-0.223659699
1,5,0.616131607,Jimmy Butler,,MIA,SF/PF,52,33.55128205,21.46153846,0.480769231,6.923076923,7.096153846,2.076923077,0.346153846,0.49660787,14.17307692,0.862980769,8,2.096153846,0.860109413,-1.195678255,0.426318907,1.53265938,3.102403984,-0.640878988,0.33738203,1.43351399,-0.310646001
1,6,0.610631972,Joel Embiid,,PHI,PF/C,51,31.08300654,28.45098039,1.137254902,10.54901961,2.843137255,1,1.352941176,0.512791991,17.62745098,0.859489051,10.74509804,3.117647059,2.016426405,-0.571647464,1.885670932,-0.341096652,0.010791655,1.305204197,0.839857285,1.816254309,-1.465772914
1,7,0.608917072,James Harden,,BKN,PG/SG,44,36.56363636,24.61363636,2.75,7.931818182,10.79545455,1.204545455,0.75,0.465940054,16.68181818,0.860681115,7.340909091,4.022727273,1.381585147,0.961367868,0.832312252,3.162464214,0.597997244,0.139740896,-0.370651899,1.264695386,-2.489257458
1,8,0.595631924,Kevin Durant,Playing - left knee,BKN,SF/PF,35,33.04809524,26.94285714,2.428571429,7.057142857,5.542857143,0.714285714,1.285714286,0.537313433,17.22857143,0.882352941,6.8,3.428571429,1.766926007,0.655829858,0.480277121,0.848321803,-0.809432024,1.17525707,1.452010882,1.608869605,-1.817373006
1,9,0.548112234,Khyri Thomas,,HOU,SG,5,30.58666667,16.4,1.8,3.6,5,1.8,1.2,0.484848485,13.2,1,1.8,1.2,0.02274028,0.058333305,-0.911137158,0.609154656,2.307417956,1.009574482,0.084089901,1.050092276,0.70274441
1,10,0.530446412,Damian Lillard,Injured - abdominal surgery (0g) - 3/23/2022,POR,PG,67,35.78855721,28.74626866,4.104477612,4.223880597,7.537313433,0.925373134,0.253731343,0.451274363,19.91044776,0.927385892,7.194029851,3.029850746,2.065278207,2.248883762,-0.660040687,1.727021527,-0.203445873,-0.819528315,-0.882724699,2.665064704,-1.36649092
1,11,0.480300797,Nikola Vucevic,,CHI,C,70,33.54714286,23.41428571,2.514285714,11.68571429,3.842857143,0.928571429,0.685714286,0.476735863,19.95714286,0.83974359,2.228571429,1.8,1.18316737,0.737306661,2.343162355,0.099350999,-0.194264264,0.015478956,-0.126329466,0.240583307,0.02425126
1,12,0.464060045,Karl-Anthony Towns,,MIN,C,50,33.78033333,24.78,2.44,10.58,4.5,0.76,1.14,0.485714286,17.5,0.8585209,6.22,3.2,1.40910796,0.666693432,1.898139771,0.388869125,-0.678196235,0.89359667,0.126601474,1.030627632,-1.558899425
2,13,0.364968761,Myles Turner,Injured - left foot (0g) - 3/13/2022,IND,PF/C,47,30.97234043,12.59574468,1.468085106,6.531914894,1.021276596,0.85106383,3.382978723,0.476851852,9.191489362,0.781690141,3.021276596,1.425531915,-0.606626859,-0.257172612,0.268885889,-1.143755736,-0.416771752,5.229192726,-0.044173673,-0.192567115,0.447707978
